route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
00406,BGPREVOZ,406,Voždovac - Institut,3,,0098DA,FFFFFF,0,,
00408,BGPREVOZ,408,Voždovac - Ralja /Drumine/,3,,0098DA,FFFFFF,0,,
00006,BGPREVOZ,6,Tašmajdan - Ustanička,0,,ED3237,FFFFFF,0,,
10003,BGPREVOZ,3A,Beograd na vodi - Kneževac,3,,0098DA,FFFFFF,0,,
11009,BGPREVOZ,9A,Blok 45 – Trg Slavija – Blok 45,3,,0098da,ffffff,0,,
00023,BGPREVOZ,23,Karaburma 2 - Vidikovac,3,,0098DA,FFFFFF,0,,
00025,BGPREVOZ,25,Karaburma 2 - Kumodraž 2,3,,0098DA,FFFFFF,0,,
00071,BGPREVOZ,71,Zeleni Venac - Bežanija /Ledine/,3,,0098DA,FFFFFF,0,,
00074,BGPREVOZ,74,Bežanijska kosa - Mirijevo 3,3,,0098DA,FFFFFF,0,,
00078,BGPREVOZ,78,Banjica 2 - Zemun /Novi Grad/,3,,0098DA,FFFFFF,0,,
00083,BGPREVOZ,83,Crveni Krst - Zemun /Bačka/,3,,0098DA,FFFFFF,0,,
00095,BGPREVOZ,95,Novi Beograd /Blok 45/ - Borča 3,3,,0098DA,FFFFFF,0,,
00015,BGPREVOZ,15,Zemun /Novi grad/ - Zeleni venac - Zemun /Novi grad/,3,,0098da,ffffff,0,,
00018,BGPREVOZ,18,Medaković 3 - Zemun /Bačka/,3,,0098DA,FFFFFF,0,,
00085,BGPREVOZ,85,Banovo brdo - Borča 3,3,,0098DA,FFFFFF,0,,
00038,BGPREVOZ,38,Šumice - Pogon Kosmaj - Veliki Mokri lug,3,,0098DA,FFFFFF,0,,
00054,BGPREVOZ,54,Miljakovac 1 - MZ Makiš,3,,0098DA,FFFFFF,0,,
00051,BGPREVOZ,51,Beograd na vodi - Bele Vode,3,,0098DA,FFFFFF,0,,
00050,BGPREVOZ,50,Ustanička - Banovo brdo,3,,0098DA,FFFFFF,0,,
00600,BGPREVOZ,600,Železnička stanica Beograd (centar) - Aerodrom Nikola Tesla,3,,0098da,ffffff,0,,
00601,BGPREVOZ,601,Beograd na vodi - Surčin,3,,0098da,ffffff,0,,
00602,BGPREVOZ,602,Novi Beograd /Blok 44/ - SRC Surčin,3,,0098da,ffffff,0,,
00603,BGPREVOZ,603,Bežanija/Ledine/ - Ugrinovci,3,,0098da,ffffff,0,,
00604,BGPREVOZ,604,Novi Beograd /Blok 45/ - Preka kaldrma,3,,0098da,ffffff,0,,
00605,BGPREVOZ,605,Novi Beograd /Blok 45/ - Boljevci - Progar,3,,0098da,ffffff,0,,
00606,BGPREVOZ,606,Surčin - Grmovac,3,,0098da,ffffff,0,,
00610,BGPREVOZ,610,Zemun /Kej oslobođenja/ - Jakovo,3,,0098da,ffffff,0,,
